id,lat,lon
183795754,55.2651278,61.3460838
183795756,55.2364758,61.3627725
183795760,55.2208501,61.3769901
279085299,55.1698232,61.2965848
279086161,55.1798893,61.2830548
279086162,55.1800926,61.282704
279086163,55.180288,61.282285
279086164,55.1805001,61.2816992
279086165,55.1806569,61.2810257
279086167,55.1821478,61.2734612
279086170,55.1827455,61.2713256
279086652,55.1830951,61.2704852
279086653,55.1834013,61.2695223
279086654,55.1836109,61.2685707
279086655,55.1839757,61.2671849
279086656,55.1841437,61.2664202
279086657,55.1842443,61.2658724
279086658,55.1842968,61.2650571
279086660,55.1847732,61.255922
279086661,55.1848751,61.2547091
279086662,55.1850285,61.2535125
279086663,55.185544,61.2504191
279086666,55.1868881,61.2432745
279090599,55.3292014,61.3226529
279090600,55.327429,61.3258066
279090601,55.3249143,61.3295425
279090602,55.3227657,61.3320157
279090603,55.3206124,61.3337682
279090604,55.3187178,61.3346812
279090605,55.3169658,61.3351143
279090606,55.3128644,61.3349227
279090607,55.3076841,61.3350971
279090608,55.3000939,61.3362262
279090609,55.2969404,61.337288
279090610,55.2884083,61.3408902
279090611,55.2844211,61.3423048
279090612,55.2817931,61.3427162
279090613,55.2716682,61.3438931
279090614,55.2687207,61.3444677
279090997,55.2651666,61.3464063
279090998,55.2688082,61.3448203
279090999,55.2716438,61.3442558
279091000,55.2818272,61.3430123
279091001,55.2844686,61.3426141
279091002,55.2884504,61.3412082
279091003,55.2969242,61.3376656
279091004,55.3000319,61.3365553
279091005,55.3078338,61.3354106
279091007,55.3132918,61.3353762
279091008,55.316652,61.3354215
279091009,55.3189363,61.3349555
279091010,55.3207345,61.3340328
279091011,55.322976,61.332184
279091012,55.3248576,61.3300598
279091013,55.3277048,61.3257867
279091014,55.3292119,61.3231148
279091034,55.2048736,61.3850432
279091052,55.2205655,61.3792104
279092338,55.1946819,61.3861924
279092415,55.1941506,61.385938
279092423,55.1938111,61.3862558
279092492,55.1955151,61.3860827
279092793,55.1963448,61.386031
279092832,55.1982549,61.3859226
279093078,55.19891,61.4062929
279099209,55.1848533,61.4094449
279099210,55.1851269,61.4123549
279099212,55.1852731,61.4141632
279099213,55.1853353,61.414704
279099215,55.1853581,61.4160661
279099274,55.1855058,61.4154132
279099275,55.1854989,61.4150806
279099276,55.1854743,61.4147533
279099277,55.1854042,61.4141307
279099279,55.1852395,61.4123012
279099280,55.1849826,61.409417
279099543,55.1843207,61.4144109
279099583,55.1853839,61.4139212
279099584,55.185258,61.4139557
279099585,55.1843097,61.4142153
279127524,55.1259192,61.4021034
279130947,55.0516346,61.3064083
279130948,55.0525091,61.3068856
279131044,55.0531321,61.307305
279131073,55.0510175,61.3061303
279132977,55.0524674,61.3071154
279132996,55.0516076,61.3066552
279133002,55.0509883,61.3063772
279140541,55.0537533,61.3078301
279140542,55.0544047,61.3083491
279140543,55.0550241,61.30901
279140544,55.0556337,61.3097138
279140545,55.0561499,61.3103661
279140546,55.0566563,61.3110871
279140547,55.0596259,61.3153907
279140548,55.0596927,61.315485
279140549,55.0626757,61.3197757
279140550,55.0637152,61.3212923
279140551,55.0642264,61.3219275
279140552,55.0649245,61.322671
279140553,55.0654589,61.3231667
279140554,55.0661023,61.3236976
279140555,55.0668777,61.3241423
279140556,55.0673594,61.3243998
279140557,55.0679712,61.3247459
279140558,55.0687483,61.3249533
279140572,55.0682314,61.3248153
279141242,55.0695632,61.3250571
279141243,55.075064,61.3256045
279141245,55.0868157,61.3264733
279141246,55.0883132,61.3266668
279141247,55.0890196,61.3268647
279141248,55.0896684,61.3271623
279141249,55.090302,61.32754
279141250,55.0909013,61.3280035
279141251,55.0915764,61.3285927
279141252,55.0925252,61.3295875
279141256,55.1071986,61.3501609
279141707,55.0750698,61.3257946
279141708,55.0641411,61.3221447
279141709,55.0925486,61.3298821
279141710,55.0694603,61.325317
279141711,55.063589,61.3214851
279141713,55.0623112,61.3195971
279141717,55.0597844,61.315957
279141718,55.0902184,61.3277016
279141719,55.0888719,61.3270836
279141720,55.0596959,61.3158289
279141721,55.0895722,61.3273357
279141722,55.0881047,61.3269082
279141723,55.0530323,61.307471
279141724,55.0565503,61.3113003
279141725,55.0915428,61.3287611
279141727,55.0560237,61.3105589
279141728,55.0908272,61.3281526
279141729,55.0850334,61.3266517
279141730,55.0555075,61.3099066
279141731,55.0685979,61.3251812
279141732,55.0679703,61.3250137
279141733,55.068114,61.3250681
279141734,55.0674182,61.3247514
279141735,55.0667454,61.3244276
279141736,55.0663694,61.3241962
279141737,55.1071987,61.3503921
279141738,55.0536271,61.3080229
279141739,55.0653327,61.3233595
279141740,55.0542785,61.3085419
279141741,55.064693,61.3227528
279141742,55.0548979,61.3092028
279142399,55.0516168,61.3811321
279142880,55.0651644,61.5006957
279199417,55.2382478,61.5808704
279199418,55.2384025,61.58014
279199419,55.2385401,61.5793115
279199420,55.238609,61.5787753
279199442,55.2386963,61.5779401
279199450,55.2387243,61.5773713
279199451,55.2387279,61.5763127
279199452,55.2386964,61.5747503
279199455,55.238678,61.5742685
279199457,55.2386259,61.5737012
279199459,55.2385304,61.573003
279199463,55.2380623,61.5703186
279199465,55.237821,61.5690692
279199466,55.2373984,61.5671905
279199467,55.2370664,61.5658395
279199468,55.2357154,61.5605491
279199469,55.2354872,61.5594954
279199470,55.2353215,61.5586204
279199471,55.234912,61.5563616
279199472,55.234429,61.5533785
279199473,55.2337293,61.5492708
279199475,55.2330613,61.5445377
279199476,55.2329695,61.5437508
279199477,55.232896,61.5425707
279199478,55.232835,61.5413477
279199479,55.232819,61.5398945
279199480,55.2328506,61.5385843
279199481,55.2328903,61.5376282
279199482,55.233058,61.5355521
279199501,55.2355656,61.5188661
279199504,55.2352341,61.5170593
279199506,55.2347034,61.5152428
279199507,55.2333548,61.5112104
279199508,55.2325877,61.509165
279199510,55.2312327,61.5061657
279199521,55.2305255,61.5047938
279199530,55.2277553,61.4993712
279199545,55.2273796,61.4987889
279199559,55.2270979,61.4984083
279199572,55.2267204,61.4979875
279199574,55.2263204,61.4975795
279199575,55.2259004,61.4972555
279199577,55.2245612,61.496759
279199578,55.2213168,61.495923
279199579,55.2202807,61.4954096
279199590,55.2195494,61.4947835
279199597,55.2192594,61.4944975
279199600,55.218817,61.4939078
279199601,55.2178788,61.4924995
279199602,55.2169261,61.4910675
279199603,55.2162565,61.4904004
279199604,55.2159347,61.4901443
279199605,55.2136974,61.4887335
279199612,55.2131324,61.4883255
279199615,55.2124924,61.4876765
279199624,55.2119164,61.4868795
279199628,55.2088435,61.4820732
279199629,55.2069184,61.4791735
279199630,55.206519,61.4786162
279199631,55.2060144,61.4780785
279200602,55.2039914,61.4760277
279200603,55.2026296,61.4745642
279200604,55.201929,61.4738954
279201088,55.2354241,61.5179082
279201098,55.234963,61.5160602
279239886,55.1771287,61.3130573
279239888,55.1782208,61.315663
279239889,55.1783497,61.3161031
279239890,55.1784582,61.3165669
279239891,55.1785409,61.3170686
279239892,55.1786029,61.3175902
279239893,55.1786412,61.318242
279239895,55.1786551,61.3213754
279239896,55.1785467,61.3245671
279239917,55.178637,61.3692668
279239918,55.178583,61.3701225
279239919,55.1785177,61.3707355
279239920,55.1782964,61.3718399
279239921,55.178115,61.3725035
279239923,55.1751624,61.3801894
279239924,55.174454,61.3821062
279239925,55.1742056,61.3830695
279239926,55.1740824,61.3837952
279239927,55.1740366,61.3842415
279239928,55.1740268,61.3846615
279239929,55.1740684,61.3863882
