id,lat,lon
28041755,55.8275043,37.7648216
28041854,55.8237972,37.7572076
28042113,55.8206771,37.7511257
28042187,55.8184908,37.7457884
28043130,55.8152897,37.7394783
28043165,55.8132647,37.7357472
28043402,55.8102796,37.730639
28043508,55.8079159,37.7266039
28043605,55.8069755,37.7250039
31404635,55.710623,37.3881507
31404640,55.7010034,37.4004987
31404642,55.6950277,37.4085034
31404643,55.6938528,37.4101044
31404645,55.691499,37.4125228
31404646,55.6901527,37.4135767
31404647,55.6898125,37.4138103
31404650,55.6876581,37.4149624
31404653,55.6833538,37.4167378
31404657,55.6682394,37.4279281
31404658,55.6674162,37.4285443
31445690,55.7243484,37.3806492
31445691,55.7192775,37.383224
31446478,55.7339181,37.8406759
31446479,55.7372283,37.8410622
31446482,55.7603124,37.8425104
31446484,55.7659603,37.842801
31446486,55.771457,37.843082
31446487,55.7743705,37.8428135
31446488,55.7773438,37.842453
31446489,55.7804624,37.842144
31446490,55.7856798,37.8415861
31446491,55.7910462,37.841011
31447273,55.7206592,37.4308276
31447274,55.7212824,37.4374361
31447275,55.7215705,37.4404717
31447276,55.7217855,37.442125
31447277,55.7221146,37.4440676
31447278,55.7224768,37.445754
31447280,55.7234633,37.4496053
31447289,55.7156396,37.3851146
31447354,55.7175518,37.3970302
31447609,55.7154478,37.3910282
31447610,55.7153945,37.3899669
31447611,55.7153958,37.3896536
31447612,55.7154427,37.389078
31447613,55.7154959,37.3887828
31447615,55.7157067,37.3882404
31447616,55.7159544,37.3878871
31447617,55.7160928,37.3877382
31447619,55.7185169,37.3864226
31447620,55.7188021,37.3863654
31447621,55.7189723,37.3863817
31447622,55.7193244,37.3865228
31447623,55.7194894,37.386725
31447624,55.7196503,37.3869966
31447625,55.7198787,37.3874503
31447627,55.7211278,37.390928
31447629,55.7241501,37.3995225
31448037,55.7229853,37.4007465
31448039,55.7158855,37.4022706
31448152,55.7135872,37.3867189
31448167,55.7130921,37.3863939
31448214,55.7134643,37.3874934
31448256,55.716432,37.4019821
31448413,55.7180173,37.3983015
31448414,55.7181371,37.398614
31448415,55.7183863,37.3994634
31448417,55.7185207,37.4015561
31448556,55.716575,37.3874298
31448625,55.7169916,37.38723
31448658,55.7189166,37.386374
31449054,55.7154111,37.4025376
31449060,55.7093531,37.405501
31449061,55.7080031,37.4041644
31449064,55.7053638,37.4022808
31449065,55.7036678,37.4009417
31449066,55.7034002,37.4007175
31449067,55.7029453,37.400303
31449068,55.7023512,37.3995523
31449072,55.6990948,37.3946978
31449098,55.7026854,37.4000092
31449188,55.702284,37.3996544
31449281,55.7034972,37.4005129
31449284,55.7086796,37.3935667
31449286,55.7100845,37.3916175
31449287,55.7103764,37.3912922
31449288,55.7105698,37.391172
31449289,55.7107396,37.3911168
31449290,55.7110219,37.3911522
31449291,55.7115532,37.3914548
31449292,55.7132753,37.3925623
31449293,55.7136251,37.3927971
