id,lat,lon
699540,43.6751621,-79.361332
699569,43.7247576,-79.3302633
1497764,43.7412456,-79.332082
1497766,43.7418685,-79.3321184
1497768,43.7450436,-79.3327357
1497773,43.7459924,-79.3329589
1497776,43.747316,-79.3332228
1497778,43.7484115,-79.3333255
1497780,43.7496991,-79.333434
1497781,43.7508526,-79.3335368
1497785,43.7518932,-79.3336887
1497788,43.7530819,-79.3339332
1497790,43.7539499,-79.3341564
1497793,43.7550349,-79.3345023
1497796,43.7570993,-79.3352722
1497798,43.7580721,-79.3355379
1497800,43.7585288,-79.3356293
1497802,43.7598961,-79.3359741
1497803,43.7607635,-79.3361923
1497804,43.7621068,-79.3365396
1497810,43.7620627,-79.3367954
1497815,43.7597997,-79.3362114
1497818,43.7569934,-79.3355063
1497830,43.7518511,-79.3339359
1497837,43.7483926,-79.3335753
1497838,43.7472755,-79.3334668
1497842,43.7459194,-79.3331825
1497850,43.7425388,-79.3323596
1497852,43.7405634,-79.3322668
1497860,43.7369429,-79.3322029
1497870,43.7332306,-79.3314236
1497875,43.7313923,-79.3310528
1497880,43.7299364,-79.3308345
1497891,43.7268948,-79.3299196
1497897,43.7266871,-79.3308931
1497899,43.7266363,-79.331115
1497902,43.7264809,-79.331814
1497911,43.7255564,-79.3334679
1497981,43.751613,-79.3473583
1497983,43.7521302,-79.3472824
1497985,43.752927,-79.3471884
1497986,43.7530215,-79.347088
1497993,43.7557749,-79.3469391
1497995,43.7571583,-79.3469941
1497996,43.75864,-79.3470027
1497997,43.7602455,-79.3470713
1498001,43.7618077,-79.3471142
1498004,43.7626755,-79.3471057
1498008,43.7639339,-79.3469683
1498011,43.7663203,-79.346728
1498015,43.7676901,-79.3466078
1498018,43.7695744,-79.346419
1498021,43.7712994,-79.3462769
1498023,43.7719606,-79.346213
1498025,43.7726587,-79.3462497
1498028,43.7735137,-79.3463844
1498030,43.7740967,-79.3465673
1498031,43.774576,-79.346728
1498033,43.7751828,-79.3469847
1498036,43.7753062,-79.3463722
1498042,43.7758966,-79.3436582
1498044,43.7760531,-79.3429805
1498048,43.7762493,-79.3418271
1498054,43.7244513,-79.3398888
1498116,43.7265041,-79.3305932
1498118,43.7271176,-79.3288609
1498120,43.7754684,-79.3470885
1498121,43.7560944,-79.34557
1498125,43.7563622,-79.3443451
1498128,43.7570169,-79.3413836
1498129,43.757479,-79.3394461
1498133,43.7581304,-79.3362587
1498135,43.7583278,-79.3353387
1498159,43.7376991,-79.340914
1500141,43.7660125,-79.3370305
1500142,43.7668941,-79.3371065
1500143,43.7683871,-79.3374545
1500145,43.7713245,-79.3385081
1500147,43.7715312,-79.3385492
1500184,43.7762741,-79.3411919
1500186,43.7631489,-79.3370317
1500187,43.7637347,-79.3372422
1500189,43.7644871,-79.33753
1500190,43.7652067,-79.3378231
1500195,43.7656882,-79.3380513
1500219,43.7684159,-79.3333717
1500253,43.7682613,-79.3388785
1500258,43.7640206,-79.336917
1500277,43.7680112,-79.3393454
