id,lat,lon
219779,59.8427042,30.3205135
219780,59.8429993,30.3204448
219807,59.8938527,30.3281035
219808,59.895094,30.3314215
219810,59.8988241,30.3370648
219811,59.8992907,30.3374937
219812,59.9017516,30.3396047
219813,59.903939,30.341502
219816,59.9098325,30.3469135
219818,59.9120293,30.3483388
219819,59.9149467,30.3502318
219821,59.9285573,30.3593555
223548,59.9905357,30.1876607
223549,59.9870432,30.2152752
223551,59.9900598,30.1920116
223552,59.9850012,30.2306934
223553,59.9843392,30.2364097
223554,59.9841206,30.2385464
223556,59.9831361,30.2550141
223557,59.983054,30.2565069
223558,59.9829962,30.2655407
223560,59.983102,30.2782947
223563,59.9838103,30.3009499
223564,59.9837351,30.2853075
223566,59.9841362,30.2930115
223567,59.984046,30.2981448
223569,59.9818606,30.3117126
223570,59.9809317,30.3183766
223571,59.9805344,30.3205267
223582,59.9682591,30.3109774
223583,59.9686038,30.3099836
223584,59.9695851,30.3088018
223587,59.9672104,30.3053293
223589,59.9661079,30.3062078
223591,59.963833,30.311796
223592,59.9591284,30.3042258
223594,59.9634913,30.3278271
223596,59.9606102,30.3308928
223601,59.9538141,30.3249516
223606,59.952303,30.3129232
223607,59.9514056,30.3107227
223609,59.9549846,30.3077635
223610,59.9557458,30.3090175
223611,59.9562085,30.3101727
223612,59.9565783,30.3113274
223613,59.9569268,30.3135008
223614,59.9569865,30.3165119
223616,59.9558655,30.32195
223617,59.9550031,30.3235682
223619,59.9559505,30.2990642
223627,59.9555869,30.2955082
223628,59.9523992,30.2903165
223631,59.946344,30.2897516
223632,59.9457409,30.2929084
223633,59.9455845,30.2941926
223634,59.9452495,30.3003457
223636,59.9499474,30.3085324
223637,59.9482459,30.3056413
223638,59.9482449,30.3048639
223639,59.947584,30.3034206
223641,59.9440931,30.3055493
223642,59.9434481,30.3062199
223647,59.9381263,30.2945979
223648,59.9365549,30.288892
223677,59.9141906,30.3549918
223679,59.9138382,30.3581939
223680,59.9136088,30.362484
223681,59.9136426,30.3645496
223682,59.9138725,30.3695221
223683,59.9144329,30.3746878
223691,59.9270998,30.3717789
223697,59.9289958,30.3476446
223698,59.9360563,30.3480739
223707,59.9421774,30.3228711
223724,60.0400962,30.0094301
223729,60.0372969,29.9561929
223730,60.0218754,29.7915659
223731,60.0213665,29.7751326
223732,60.0208043,29.7484644
223733,60.0204297,29.7373229
223734,60.0197159,29.732468
223735,60.017701,29.7258061
223741,60.001216,29.7626469
223742,60.002319,29.7635645
223743,60.0001988,29.7706547
223744,59.9892757,29.761636
223745,59.9895472,29.7603456
223746,59.9905932,29.7609171
223747,59.9918773,29.7545494
223750,59.9934041,29.7779653
223752,59.9884863,29.786516
223753,59.9858452,29.7844223
223754,59.9851748,29.7876822
223755,59.9902223,29.7914062
223758,60.0901561,29.9730941
223759,60.0914929,29.974925
223761,60.0992893,29.9806082
223762,60.1012433,29.9798395
223765,60.1160456,29.9683052
223766,60.117919,29.9691501
223768,60.1223749,29.9770068
224834,60.137889,29.9888703
224835,60.1396596,29.9889919
224836,60.1427169,29.9891684
224837,60.1441111,29.9897257
224838,60.1454346,29.9904859
224839,60.146142,29.9911325
224840,60.1465056,29.991981
224841,60.1467208,29.993958
224844,60.1411081,29.9874279
224845,60.1415976,29.986308
224846,60.146207,29.981128
224857,60.1522169,29.9701851
224862,60.1524591,29.9758515
224863,60.1553392,29.9746178
224865,60.1613123,29.9737121
224866,60.1672473,29.9722548
224868,60.1623781,29.973606
224870,60.1643422,29.9733382
224871,60.1686873,29.9713092
224872,60.1721183,29.9678552
224880,60.1740703,29.8607441
226841,59.9676868,30.2826931
226844,59.9705731,30.2839979
226845,59.9710178,30.2844922
226849,59.9726023,30.2894795
226850,59.9731826,30.2920595
226852,59.974735,30.2959563
226856,59.9415143,30.3188062
226862,59.9421123,30.3281614
226863,59.942501,30.3264618
226864,59.9425188,30.3249213
230210,60.228314,29.6783457
230211,60.2276543,29.6794047
230214,60.22656,29.681988
230215,60.2177215,29.7241696
230223,60.2154869,29.7324779
230228,60.2115637,29.7255647
230229,60.2112194,29.7250017
230230,60.2108732,29.7231874
230231,60.2108615,29.721513
230232,60.2099904,29.7171989
230233,60.208396,29.7121914
230234,60.2075501,29.7103431
230235,60.2056226,29.7083922
230236,60.202592,29.7134488
230237,60.1944008,29.7563889
230238,60.2045786,29.7072496
230243,60.1916032,29.7710888
230244,60.1866616,29.7966523
230245,60.1861069,29.7984497
230246,60.1835068,29.8114586
230247,60.1831027,29.8147799
230248,60.1808698,29.8265594
230251,59.959827,30.3894139
230252,59.9595354,30.3933521
230253,59.9594397,30.3945818
230254,59.9589526,30.3978384
230255,59.9585649,30.4000114
230267,59.9533629,30.421949
230269,59.9489274,30.4211957
230274,59.9435363,30.4122233
230275,59.9428039,30.3941504
230289,59.9298177,30.4174986
230296,59.9548634,30.3745029
230298,59.9590185,30.382227
230299,59.9595749,30.3837494
230300,59.9597204,30.3846433
230306,59.9529134,30.3604631
230310,59.9534614,30.3522612
230312,59.9541136,30.3474863
230313,59.9544161,30.3457094
230320,59.9465718,30.3487486
230323,59.9610987,30.3380824
230326,59.9390179,30.2106253
230327,59.9372573,30.2122264
230328,59.9438925,30.206447
230329,59.9450926,30.2062931
230334,59.9401161,30.2155301
230335,59.940491,30.2172318
230336,59.93956,30.2180616
230346,59.9622047,30.4224789
230348,59.9624904,30.4223094
230349,59.9632027,30.421466
230350,59.9684233,30.4107219
230351,59.9720333,30.4123504
230354,59.9936388,30.423934
230357,59.9944759,30.3921874
230358,59.9978966,30.3650405
230361,59.9990223,30.3631519
230362,59.9983779,30.3624652
230363,59.9978027,30.362694
230364,59.9974397,30.3637668
230365,59.9976175,30.3646137
230386,60.0788761,30.2667469
230389,60.0826223,30.2638096
230391,60.0937432,30.256393
230394,60.1059775,30.2470156
230395,60.1069156,30.2461426
233205,60.1511462,29.9729416
233209,60.1482901,29.9784023
233217,60.1397503,29.9881788
233218,60.1391667,29.9884873
233219,60.1381419,29.9888101
233221,60.1229227,29.9771299
233225,60.1236062,29.9778394
233230,60.1269784,29.9810432
233231,60.1311208,29.9849642
233234,60.1327814,29.986279
233238,60.1329451,29.9875828
233239,60.132714,29.9876977
233240,60.1323549,29.9877579
233271,60.0801718,29.9603312
233274,60.0703498,29.96963
233277,60.0652612,29.9710389
233278,60.0643394,29.9713343
233279,60.0623424,29.9718398
233280,60.0604206,29.9732761
233281,60.0586092,29.9755587
233304,60.039209,29.9767764
233338,60.0299275,29.9936319
233343,60.0347464,29.9808395
233346,60.0276775,29.9996003
233347,60.0279071,29.998942
233353,60.0170278,30.0109872
233354,60.0138344,30.0114326
233355,60.0131054,30.0121547
233357,60.0108108,30.0197005
233358,60.0098171,30.0250057
233359,60.0084585,30.0304285
233361,60.0076219,30.0337158
233387,60.0058327,30.0446335
233396,60.0023322,30.0697257
233398,59.9992671,30.0859609
233400,60.0004259,30.0813604
233403,59.9980311,30.0917974
233422,59.9945429,30.1334481
233423,59.9938033,30.1392331
233427,59.9910416,30.1604008
233428,59.9900165,30.168639
233434,59.9893577,30.1781232
233435,59.9892716,30.1761673
233436,59.9894955,30.1736448
233440,59.9766656,30.3294875
233442,59.974018,30.3329032
233450,59.9721669,30.3350363
233451,59.9703917,30.3356163
233453,59.9683292,30.3363825
233458,59.9638749,30.3300016
233459,59.9638384,30.3297947
233461,59.9632491,30.3264727
233462,59.9623349,30.3213602
233466,59.9662098,30.3375602
233468,59.960295,30.3116619
233470,59.9580064,30.3068723
233471,59.9574884,30.3072802
233474,60.0852389,30.2251438
233475,60.0865952,30.2311512
233476,60.088825,30.2381349
233477,60.0895545,30.2400107
233478,60.0925704,30.2470829
233481,60.098894,30.2733917
233482,60.0994009,30.2800405
233484,60.0988946,30.2932866
233485,60.0980543,30.2995215
233486,60.0961506,30.3133841
233487,60.0958054,30.3169925
233510,60.0550815,30.38364
233511,60.050995,30.3800116
233512,60.061598,30.1573302
233513,60.0607679,30.1543923
233514,60.0643415,30.164612
233515,60.0680493,30.1715768
233516,60.0692049,30.1732857
233518,60.0752884,30.1812571
233519,60.0789401,30.1881373
233520,60.0813209,30.1952349
233521,60.0819202,30.1978656
233522,60.0830424,30.2045013
233523,60.0835047,30.209488
233524,60.0837889,30.2144586
233526,60.2263878,29.6830843
233529,60.2250482,29.6893663
233530,60.2249016,29.6906126
233704,60.1034701,29.9742359
233706,60.1040278,29.9766556
233710,60.1027674,29.9780933
233711,60.1013627,29.9794957
233716,60.2204129,29.5804947
233717,60.2161033,29.572994
233718,60.2148175,29.5716993
233719,60.2140815,29.57122
233720,60.2129541,29.5708649
233721,60.210562,29.570756
233722,60.2095042,29.570182
233723,60.2070421,29.5649486
233724,60.2082695,29.5683809
233725,60.2055552,29.5608227
233726,60.2048087,29.558126
233727,60.2042659,29.5566192
233728,60.2032367,29.554663
233729,60.2012423,29.5519235
233730,60.2022009,29.5527023
233731,60.2003662,29.5520001
233732,60.1986481,29.553597
233733,60.1970947,29.5551987
233734,60.1966941,29.5562817
233736,60.1960742,29.5640697
233737,60.196371,29.5656957
233738,60.1980232,29.5685827
233739,60.1982768,29.5696482
233740,60.1985305,29.5727689
233741,60.1984877,29.5828517
233742,60.198596,29.5494561
233743,60.1983598,29.5460774
233744,60.1981234,29.54498
233745,60.1967454,29.5402916
233746,60.1964203,29.538689
233748,60.1946995,29.5235598
233751,60.1797055,29.4506332
233752,60.180511,29.4542068
233753,60.1804732,29.455957
233754,60.180285,29.4581409
233755,60.1800676,29.4621798
233756,60.1799794,29.4680155
233757,60.1800709,29.4749914
236542,59.935663,30.3189235
236543,59.9352719,30.3185982
236592,59.9700337,30.2752864
236593,59.9713643,30.2757399
236595,59.9684312,30.2776874
236598,59.9663877,30.2840635
236599,59.966359,30.2887514
236712,59.9890827,30.3405259
236715,59.9905706,30.3477018
236716,59.9909286,30.3491304
236717,59.9910151,30.350622
