fromId,toId,weight
3790635795,960722118,0.00016525208016983565
3640877452,3790635795,0.000052354560445682674
1027995443,279090599,0.002200695571861794
279090600,1027995443,0.0014171356921582568
890972499,279090600,0.002134734608800729
890972683,890972499,0.001406335749386543
279090601,890972683,0.0009644936961925786
1027994822,279090601,0.0017087936592805899
279090602,1027994822,0.0015700376842628877
1027995380,279090602,0.0014339251200759585
279090603,1027995380,0.0013449125064515924
5413991163,279090603,0.000489476557150886
367324016,5413991163,0.00008765414992823122
279090604,367324016,0.0015260945875014387
1013435978,279090604,0.0009683146699328867
279090605,1013435978,0.000839626518161516
890971438,279090605,0.0003458125792986523
891000694,890971438,0.0020891451194207265
891000714,891000694,0.00047610372818836634
279090606,891000714,0.0011970198202203286
1013435922,279090606,0.0005294944381249436
3790772457,1013435922,0.00037770297853691203
367323897,3790772457,0.0022374169146641243
279090607,367323897,0.0020450796561448836
367323915,279090607,0.000916559676182366
367323882,367323915,0.002843644552333104
279090608,367323882,0.003914569714539189
1023188940,279090608,0.0007301966447487582
890971676,1023188940,0.0006445270281377482
279090609,890971676,0.0019547140813964002
1023188197,279090609,0.004639629969079097
279090610,1023188197,0.004621772928214765
1023188619,279090610,0.001705723145765244
1023188269,1023188619,0.0008271548887596216
891520903,1023188269,0.0008469069488463535
279092832,279092793,0.0019131734291521199
1858923375,291163637,0.00035950034769972503
279099210,279099209,0.0029228337208948006
279099280,279099279,0.0028956186299347085
279130947,279130948,0.0009962758353003023
1979436311,279141256,0.00019230291209098931
366689338,1979436311,0.0006460942423553038
1437212289,366689338,0.0006537243761693723
1669181083,1437212289,0.001857134233161634
1669180911,1669181083,0.0018744589112618375
1669180700,1669180911,0.003119457831100248
380233549,1669180700,0.0003048382685940323
1668979147,380233549,0.000289538253083283
4166828671,1668979147,0.0035675358358432377
279132977,279132996,0.0009752128383077663
279141723,279132977,0.0006675053333118937
279141738,279141723,0.0008114065873529279
279141740,279141738,0.0008328763173529754
3931078052,279141740,0.00033322067762789993
279141742,3931078052,0.0005725636121866615
279141730,279141742,0.0009310996724259259
279141727,279141730,0.0008318399665790158
279141724,279141727,0.0009093852429000713
5796708423,279141724,0.00042751928611916933
1572158966,5796708423,0.0004928286720525325
5796708420,1572158966,0.0007671306146920818
279141720,5796708420,0.003826444524622963
279141717,279141720,0.000155697976861809
3931078053,279141717,0.0017440784070687978
3299250256,3931078053,0.00016503539014521633
372386705,3299250256,0.002194361285201297
279141713,372386705,0.0003278055063676628
366676009,279141713,0.0018705275940219454
279141711,366676009,0.0004092596241934457
279141708,279141711,0.0008601665943338667
279141741,279141708,0.0008212059546780481
279141739,279141741,0.0008816467433157957
3931078054,279141739,0.000677394811024887
279141736,3931078054,0.0006556400003030045
